Steven Groves
Elf[1][7]: Run!
Elf[1][41]: Run!
Elf[3][15]: Run!
Elf[3][17]: Run!
Elf[4][18]: Munch!
Elf[4][25]: Run!
Elf[5][3]: Run!
Elf[5][31]: Munch!
Elf[5][34]: Run!
Elf[6][0]: Run!
Elf[6][32]: Run!
Elf[6][37]: Run!
Elf[6][46]: Run!
Elf[7][1]: Run!
Elf[7][11]: Run!
Elf[7][28]: Munch!
Elf[8][44]: Munch!
Elf[9][10]: Run!
Elf[9][45]: Munch!
Elf[10][47]: Run!
Elf[11][6]: Munch!
Elf[12][13]: Run!
Elf[12][44]: Munch!
Elf[14][16]: Run!
Elf[14][22]: Run!
Elf[15][4]: Run!
Elf[15][12]: Munch!
Elf[17][8]: Run!
Elf[17][12]: Run!
Elf[18][5]: Run!
Elf[18][23]: Run!
Elf[18][32]: Run!
Elf[19][42]: Munch!
Elf[20][26]: Munch!
Elf[20][38]: Run!
Elf[20][40]: Run!
Elf[22][9]: Run!
Elf[23][18]: Run!
Elf[23][46]: Run!
Elf[23][47]: Run!
Elf[24][8]: Munch!
Elf[24][19]: Run!
Elf[25][29]: Munch!
Elf[25][46]: Run!
Elf[26][44]: Run!
Elf[27][11]: Run!
Elf[27][35]: Run!
Elf[28][16]: Run!
Elf[28][31]: Run!
Elf[29][41]: Run!
